Id,Name,TypeDesc,License,LicenseType,Owner,Location,Phone,Status,BeginDate,EndDate,OpenDate,LastInspection,NextInspection,FollowUpDate,ReinspectDate,DateClosed,Complexity,LastInspectionStatus,Address
3370,Grab a Bite,Food Service Establishment,53720,SFE,KEVIN SHOAITO,"(42.3495117,-83.05871979999999)",831-1700,OPEN,7/20/06,,,8/7/06,1/4/07,8/17/06,12/30/1899,,O,,"3800 Woodward Ave, Detroit, MI 48201, USA"
3463,Breithaupt Career/Technical Center,Public School,35405,SFE,Detroit Public Schools,"(42.3645118,-83.1868382)",866-9550,OPEN,4/10/07,,,6/14/17,12/11/17,9/12/17,,,Z,IN COMPLIANCE,"9300 Hubbell Ave, Detroit, MI 48228, USA"
3372,Jalisco Restaurant,Food Service Establishment,61145,SFE,Jorge R. Torres,"(42.3248018,-83.1164972)",897-1501,OPEN,,,,3/24/09,2/22/10,8/5/06,12/30/1899,,O,IN COMPLIANCE,"3149 Livernois Ave, Detroit, MI 48210, USA"
3373,Reshmi Sweets & Cafe,Food Service Establishment,75712,SFE,Zual Khan,"(42.4084009,-83.0562039)",366-2425,OPEN,7/28/06,,,9/29/17,2/26/18,10/9/17,,,O,NOT IN COMPLIANCE,"12170 Conant St, Hamtramck, MI 48212, USA"
3374,Express Dogs,LHD - Mobile Food Establishmen,37604,SMF,TOMMY HEAD,"(42.24580539999999,-83.272019)",506-6574,OPEN,7/31/06,,,5/16/16,5/16/16,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"24263 Filmore St #128, Taylor, MI 48180, USA"
3375,Sterling Services,LHD - Vending,41554,SVN,S. Donovan,"(42.3488239,-83.025396)",734-207-8363,OPEN,,,,8/28/13,1/10/15,12/30/1899,12/30/1899,9/1/16,O,IN COMPLIANCE,"Detroit, MI 48207, USA"
3377,MR. B'S FAMOUS CORNED BEEF,Food Service Establishment,PR06057,SFE,BABBIE ENTERPRISES,"(42.4289657,-82.9581163)",449-5457,Plan Review,,,,,,,,,O,,"18081 Kelly Rd, Detroit, MI 48224, USA"
3378,Ebony Lounge,Food Service Establishment,57655,SFE,"Mike Brown, Pr. Curtis Johnson","(42.429549,-83.229142)",533-2209,OPEN,1/5/06,,,6/21/16,5/22/17,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"19029 W Seven Mile Rd, Detroit, MI 48219, USA"
3379,The Woodward,Food Service Establishment,53705,SFE,William J. Cartwright DW Group,"(42.3329234,-83.0472702)",964-4444,PERMANENTLY CLOSED,,,,9/8/08,2/5/09,9/19/08,12/30/1899,,O,NOT IN COMPLIANCE,"1040 Woodward Ave, Detroit, MI 48226, USA"
3380,Subway,Food Service Establishment,53716,SFE,Mustapha Akhdar,"(42.2886527,-83.1657946)",313-842-5500,OPEN,7/13/06,,,9/15/17,8/16/18,9/25/17,12/30/1899,,O,IN COMPLIANCE,"335 Schaefer Hwy, Detroit, MI 48217, USA"
3381,Rono's Caribbean Paradise Restaurant,Food Service Establishment,53707,SFE,"Rennick, Arilda, Omari Lewison","(42.4162733,-83.18253349999999)",313-342-4073,OPEN,,,,10/24/17,3/23/18,11/3/17,,,O,NOT IN COMPLIANCE,"14001 W McNichols Rd, Detroit, MI 48235, USA"
3382,The Buzz Bar,Food Service Establishment,sh546,SFE,Adam Laurie,"(42.33174270000001,-83.0393891)",962-1800,OPEN,,,,8/29/07,1/26/08,10/24/08,12/30/1899,,O,NOT IN COMPLIANCE,"546 Larned St, Detroit, MI 48226, USA"
3383,La Terraza,Food Service Establishment,61146,SFE,Israel Rocha-Villasenor,"(42.3047437,-83.1295712)",843-1433,OPEN,6/3/08,,,12/28/12,5/27/13,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"1633 Lawndale St, Detroit, MI 48209, USA"
3392,Danny Chan's,Food Service Establishment,53715,,Dan Harnphanich,"(42.3388433,-83.0308364)",567-1000,OPEN,,,,2/19/07,2/19/07,3/1/07,12/30/1899,,O,IN COMPLIANCE,"1539 E Lafayette St, Detroit, MI 48207, USA"
3393,Arthur's Deli,Food Service Establishment,WW63663,,Mr. Gholston,"(42.2695608,-83.16043309999999)",386-3663,OPEN,,,,9/26/07,11/23/08,12/30/1899,12/30/1899,1/29/10,O,IN COMPLIANCE,"2709 S Fort St, Detroit, MI 48217, USA"
3394,Bistro and Boutique Felice,Food Service Establishment,3980JR,SFE,Patricia Wilborn / manager,"(42.3514382,-83.0563524)",993-0680,New owner/complete reconstruct,4/19/07,,,7/24/08,7/9/09,8/3/08,12/30/1899,,O,NOT IN COMPLIANCE,"3980 John R St, Detroit, MI 48201, USA"
3395,Simple Miracles Pizza,Food Service Establishment,53567,,Paul & Wendy Petterson,"(42.54085269999999,-83.2166562)",313-407-4761,OPEN,9/26/06,,,9/20/06,9/20/07,9/30/06,12/30/1899,,O,NOT IN COMPLIANCE,"825 S Bates St, Birmingham, MI 48009, USA"
3396,Subway,Food Service Establishment,81062,SFE,ZH Investment,"(42.33198220000001,-83.0449058)",,OPEN,,,,6/7/17,5/8/18,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"Cadillac Tower, 65 Cadillac Square, Detroit, MI 48226, USA"
3397,Patton Recreation Center,Food Service Establishment,78645,SFE,Detroit Parks and Recreation,"(42.3094421,-83.1378441)",876-4554,OPEN,9/26/06,,,9/5/17,2/2/18,,,,O,NOT IN COMPLIANCE,"2301 Woodmere St, Detroit, MI 48209, USA"
3398,Marko's Take out,Food Service Establishment,53718,SFE,Dured Sinawi,"(42.3651706,-83.10370449999999)",256-1785,OPEN,9/11/06,,,8/15/08,8/15/08,8/25/08,12/30/1899,8/25/08,O,NOT IN COMPLIANCE,"8105 Linwood St, Detroit, MI 48206, USA"
3421,UNITED CONEY ISLAND,Food Service Establishment,55116,,DJOKA LJULDJURAJ,"(42.3737028,-83.0195839)",921-9521,Other,,,,6/27/07,11/24/07,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"1167 E Grand Blvd, Detroit, MI 48211, USA"
3422,The Bean Cafe,Food Service Establishment,55101,SFE,Theresa Vigiano,"(42.3508273,-82.99948169999999)",821-8147,OPEN,11/15/06,,,8/17/07,8/17/07,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"7633 E Jefferson Ave, Detroit, MI 48214, USA"
3423,Squindles African Restaurant,Food Service Establishment,54576,SFE,Janet S. Akintoroye,"(42.410574,-83.1601706)",313-342-2559,PERMANENTLY CLOSED,,,,11/3/08,4/2/09,11/13/08,12/30/1899,4/24/13,O,NOT IN COMPLIANCE,"16155 Wyoming Ave, Detroit, MI 48221, USA"
3425,They Say/Dunco Holding LLC,Food Service Establishment,55109,SFE,Terry Payne:  CEO,"(42.3382238,-83.0191432)",446-4682,OPEN,,,,1/10/18,6/9/18,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"267 Joseph Campau Ave, Detroit, MI 48207, USA"
3426,Manhattan Fish & Chicken,Food Service Establishment,55106,SFE,Hassan H. Alden,"(42.3861157,-83.1398548)",313-491-0094,OPEN,,,,8/2/17,7/3/18,8/12/17,12/30/1899,,O,IN COMPLIANCE,"13325 Livernois Ave, Detroit, MI 48238, USA"
3427,"Walter Lukowski, Jr. - VFW #7170",Food Service Establishment,55107,,,"(42.4308366,-83.04386439999999)",893-1344,OPEN,1/5/07,,,,,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"18655 Mound Rd, Detroit, MI 48234, USA"
3428,Kidz Playland/Club Fuego,Food Service Establishment,55104,SFE,Pearl Mgt. Corp.,"(42.3246039,-83.10843)",608-9630,OPEN,10/24/06,,,3/21/13,2/19/14,3/31/13,12/30/1899,,O,NOT IN COMPLIANCE,"5620 Federal St, Detroit, MI 48209, USA"
3437,Sodexo Mgmt. Inc.,LHD - Vending,43299,SVN,Vern Reaume,"(42.348495,-83.0602998)",734-947-7043,OPEN,,,,,,12/30/1899,12/30/1899,,O,,"Detroit, MI 48201, USA"
3442,ROBS DELI,Food Service Establishment,ag14300,,ROBERT YOUNG,"(42.3860774,-82.9537476)",822-6662,OPEN,,,,1/22/07,1/22/07,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"14300 Mack Ave, Detroit, MI 48215, USA"
3443,El Barzon Restaurante,Food Service Establishment,55093,SFE,Norberto Garita,"(37.3974619,-121.9310805)",894-2070,OPEN,,,,7/26/17,12/23/17,,,,O,NOT IN COMPLIANCE,"3710 Junction Ave, San Jose, CA 95134, USA"
3444,Adams-Butzel Recreation Center,Food Service Establishment,73411,SFE,Detroit Parks and Recreation,"(42.3959762,-83.165144)",313-628-0990,OPEN,,,,10/13/17,9/13/18,,,,O,IN COMPLIANCE,"10500 Lyndon St, Detroit, MI 48238, USA"
3445,Intus Night Club,Food Service Establishment,51872,SFE,"Gregory Morris, owner","(42.3388462,-83.0308297)",313-567-5555,PERMANENTLY CLOSED,,,,1/24/08,6/22/08,2/3/08,12/30/1899,,O,NOT IN COMPLIANCE,"1557 E Lafayette St, Detroit, MI 48207, USA"
3446,Eats & Treats,Food Service Establishment,new,SFE,Tyler Durden,"(42.4192554,-83.0522175)",366-0882,New owner/complete reconstruct,,,,2/2/09,5/28/09,2/23/07,12/30/1899,6/17/09,O,NOT IN COMPLIANCE,"5001 E Davison St, Detroit, MI 48212, USA"
3447,Detroit Community Schools,Non-Public School,54624,SFE,Detroit Community Schools,"(42.3804033,-83.2474501)",537-3570,OPEN,9/19/06,,,9/20/17,3/19/18,,12/30/1899,,O,IN COMPLIANCE,"Solarfly and Butterfly Garden, 12675 Burt Rd, Detroit, MI 48223, USA"
3448,You Name It Cafe,Food Service Establishment,55739,SFE,D. Vasilos,"(42.3580169,-83.0570284)",833-9222,Plan Review,2/2/07,,,2/19/09,7/19/09,12/30/1899,12/30/1899,,O,,"4707 St Antoine St, Detroit, MI 48201, USA"
3449,The Harem Nightclub,Food Service Establishment,55102,SFE,Mohamed Hamood,"(42.41332999999999,-83.276406)",(313) 387-8180,PERMANENTLY CLOSED,5/8/06,,,2/1/07,7/1/07,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"16890 Telegraph Rd, Detroit, MI 48219, USA"
3450,Passport Pizza & Ribs Cafe,Food Service Establishment,PR06080,SFE,Vincent Gialalone,"(42.3520293,-83.0674713)",494-5200,OPEN,2/21/07,,,2/24/09,1/25/10,3/3/07,12/30/1899,,O,NOT IN COMPLIANCE,"4445 2nd Ave, Detroit, MI 48201, USA"
3451,Signature Grill,Food Service Establishment,208233,SFE,Charlotte Stugayan,"(42.3247009,-83.0555184)",313-394-0667,OPEN,,,,9/20/17,2/17/18,9/30/17,12/30/1899,,O,IN COMPLIANCE,"250 Riverfront Dr, Detroit, MI 48226, USA"
3454,Subway,Food Service Establishment,PR06052,,Michael Legato,"(42.3884485,-82.9420784)",885-3737,OPEN,3/6/07,,,10/3/07,10/3/07,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"15439 Mack Ave, Detroit, MI 48224, USA"
3455,Henry Ford Hospital - Lobby Cafe,Food Service Establishment,54045,SFE,Aramark,"(42.3673845,-83.0853755)",313-916-1055,OPEN,9/19/06,,,2/7/12,1/7/13,12/30/1899,12/30/1899,5/15/12,O,IN COMPLIANCE,"2799 W Grand Blvd, Detroit, MI 48202, USA"
3456,Harper Deli and Restaurant,Food Service Establishment,123,,Nua Vuljaj,"(42.4169786,-82.9359757)",882-6100,PERMANENTLY CLOSED,3/9/07,,,3/9/07,4/17/08,5/14/07,12/30/1899,,O,NOT IN COMPLIANCE,"17137 Harper Ave, Detroit, MI 48224, USA"
3457,It's all good Bar B Q and Deli,Food Service Establishment,DC0321,SFE,Gail Wilkerson,"(42.4181971,-82.9329001)",882-4990,OPEN,3/9/07,,,3/9/07,9/7/07,3/19/07,12/30/1899,,O,NOT IN COMPLIANCE,"17400 Harper Ave, Detroit, MI 48224, USA"
3458,Fat Boyz Pizza,Food Service Establishment,SFW00091,,,"(42.400245,-83.2656672)",(313) 477-8332,PERMANENTLY CLOSED,2/1/07,,,,,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"22739 Fenkell Ave, Detroit, MI 48223, USA"
3459,"Venice Food, Inc",Food Service Establishment,GM105A,,Ayad Kashat,"(42.3293284,-83.0397632)",,OPEN,1/27/06,,,,,12/30/1899,12/30/1899,,O,,"Detroit, MI 48243, USA"
3488,Dan's Dogs,LHD - Mobile Food Establishmen,37594,,Daniel Costello,"(42.100879,-83.463089)",,Other,4/30/07,,,,,,,,O,,"43591 Arkona Rd, New Boston, MI 48164, USA"
3489,Kreative Foods,LHD - Mobile Food Establishmen,37596,SMF,"Kreative Entertainment, Inc.","(42.3830209,-83.1995622)",,OPEN,,,,,,12/30/1899,12/30/1899,,O,,"12843 Greenfield Rd, Detroit, MI 48227, USA"
3490,Trio Vending #4,LHD - Mobile Food Establishmen,37975,SMF,Tommaso Mainella,"(42.3906306,-83.38539779999999)",,OPEN,4/30/07,,,,,12/30/1899,12/30/1899,,O,,"14600 Fairlane St, Livonia, MI 48154, USA"
3491,"Acapulco Cuerpo Y Alama, L.L.C.",LHD - Mobile Food Establishmen,37634,SMF,Ernesto Guardarrama,"(42.3290652,-83.146973)",(313) 729-9902,OPEN,4/30/07,,,,,,,,O,,"4929 Trenton St, Detroit, MI 48210, USA"
3492,Brad's Hot Dogs,LHD - Mobile Food Establishmen,7578,SMF,,"(42.4055526,-82.93182929999999)",,Other,4/30/07,,,,,12/30/1899,12/30/1899,,O,,"16915 E Warren Ave, Detroit, MI 48224, USA"
3493,Trio Vending #2,LHD - Mobile Food Establishmen,37255,SMF,Tommaso Mainella,"(42.3906306,-83.38539779999999)",,OPEN,4/30/07,,,,,12/30/1899,12/30/1899,,O,,"14600 Fairlane St, Livonia, MI 48154, USA"
3494,Times Square Deli,LHD - Mobile Food Establishmen,37457,,Berry Grunin/Keith Garrett,"(42.4098243,-83.16958129999999)",,OPEN,4/30/07,,,,,12/30/1899,12/30/1899,,O,,"16146 Meyers Rd, Detroit, MI 48235, USA"
3495,Simon's Pizza,Food Service Establishment,54626,SFE,Larry Simon,"(42.3266931,-83.04922660000001)",313-446-8007,OPEN,4/19/07,,,1/7/10,6/6/10,4/29/07,12/30/1899,6/1/11,O,NOT IN COMPLIANCE,"1 Washington Blvd, Detroit, MI 48226, USA"
3496,The Bean Bar,Food Service Establishment,66471,SFE,Team Way Inc.,"(42.3287247,-83.0487649)",313-963-2326,PERMANENTLY CLOSED,4/19/09,,,9/28/16,8/29/17,12/30/1899,12/30/1899,,Y,IN COMPLIANCE,"249 W Congress St, Detroit, MI 48226, USA"
3497,Prince Pizza Chicken & Ribs,Food Service Establishment,55118,SFE,Saul Thomas mgr,"(42.4345725,-82.9909565)",(313) 839-0500,OPEN,2/20/07,,,11/7/17,4/6/18,,,,O,IN COMPLIANCE,"13000 Seven Mile E, Detroit, MI 48205, USA"
3498,Choices II,Food Service Establishment,64077,SFE,Chikaodinaka O. Ahanonu,"(42.4293374,-83.2368619)",(313) 387-3700,PERMANENTLY CLOSED,5/1/07,,,4/13/10,9/10/10,12/30/1899,12/30/1899,10/26/10,O,NOT IN COMPLIANCE,"19701 W Seven Mile Rd, Detroit, MI 48219, USA"
3499,Midtown Express Cafe,Food Service Establishment,57386,SFE,Shubert Sheena,"(42.3522105,-83.05719619999999)",831-3000,PERMANENTLY CLOSED,,,,11/26/14,4/25/15,12/30/1899,12/30/1899,11/19/14,Z,NOT IN COMPLIANCE,"4100 John R St, Detroit, MI 48201, USA"
3500,Elysium/White House,Food Service Establishment,81585,SFE,Ivid Bahoura,"(42.3294269,-83.0485345)",313-702-0180,PERMANENTLY CLOSED,5/1/07,,,3/29/12,8/11/13,12/30/1899,12/30/1899,4/19/13,O,NOT IN COMPLIANCE,"625 Shelby St, Detroit, MI 48226, USA"
3501,AC's Ice Cream,LHD - Special Transitory Food,PRSTFU,SST,DAVID CARTER,"(42.3909166,-83.1680196)",475-1259,OPEN,4/27/07,,,,,,,,O,,"14155 Manor St, Detroit, MI 48238, USA"
3512,The Coffee Cafe,Food Service Establishment,51192,SFE,Stephanie Sorola,"(42.3307813,-83.0480616)",962-2049,OPEN,7/5/07,,,7/20/11,12/17/11,12/30/1899,12/30/1899,12/22/11,O,IN COMPLIANCE,"719 Griswold St, Detroit, MI 48226, USA"
3513,Blue Star Cafe,Food Service Establishment,56753,SFE,Barry J. Winfree/Team Way Inc,"(42.3288156,-83.0485522)",313-222-5893,OPEN,4/15/07,,,5/5/17,4/5/18,12/30/1899,12/30/1899,,Y,IN COMPLIANCE,"239 W Congress St, Detroit, MI 48226, USA"
3514,Andrew's Deli,Food Service Establishment,64467,SFE,Nazar Zaya,"(42.369514,-83.15781969999999)",523-8981,PERMANENTLY CLOSED,6/5/08,,,6/10/08,6/10/08,3/28/08,12/30/1899,5/20/08,O,IN COMPLIANCE,"9924 Wyoming Ave, Detroit, MI 48204, USA"
3515,Mr. C's Deli & Ice Cream,Food Service Establishment,13340,SFE,Carl Cannon,"(42.366048,-83.176183)",,OPEN,,,,10/5/11,9/4/12,12/30/1899,12/30/1899,5/27/16,O,NOT IN COMPLIANCE,"13344 W Chicago, Detroit, MI 48228, USA"
3516,SOUTHSHORE EDUCATIONAL CENTER,Food Service Establishment,1021AG,,MARQUIS HERRING-OP.MGR.,"(42.3657146,-82.9587928)",823-8603,Plan Review,9/5/07,,,,,12/30/1899,12/30/1899,,O,,"1021 Clairpointe St, Detroit, MI 48215, USA"
3519,Four Brothers Restaurant,Food Service Establishment,69406,SFE,Athir Nafso,"(42.4060014,-82.9308911)",647-9611,OPEN,5/24/07,,,11/25/14,4/24/15,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"17017 E Warren Ave, Detroit, MI 48224, USA"
3518,Jet's Pizza Midtown,Food Service Establishment,75120,SFE,Suroor Shamoun,"(42.35277869999999,-83.06973579999999)",313-297-7000,OPEN,2/24/07,,,3/28/17,2/26/18,12/30/1899,12/30/1899,,Y,NOT IN COMPLIANCE,"4718 Anthony Wayne Dr, Detroit, MI 48201, USA"
3527,Academy of Oak Park - Whitcomb,Non-Public School,57475,SFE,Charter Schools Admin. Service,"(42.3910426,-83.1968)",313-272-8333,OPEN,,,,12/14/09,5/13/10,9/29/08,12/30/1899,,O,NOT IN COMPLIANCE,"14213 Whitcomb Ave, Detroit, MI 48227, USA"
3528,A.V.I. FOODS/CHRYSLER MACK I,Food Service Establishment,34042,SFE,A.V.I. FOODS,"(42.3839005,-82.97838089999999)",252-6293,TEMPORARILY CLOSED,1/1/04,,,8/29/07,3/20/09,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"4000 St Jean St, Detroit, MI 48214, USA"
3529,Subway,Food Service Establishment,57469,SFE,Mohamad Alsedawai,"(42.377335,-83.1592426)",839-1333,OPEN,8/30/07,,,11/30/09,10/31/10,12/30/1899,12/30/1899,8/23/10,O,IN COMPLIANCE,"12060 Grand River Ave, Detroit, MI 48204, USA"
3530,Rice Bowl,Food Service Establishment,56886,SFE,"Rice Bowl College Park, Inc.","(42.4205882,-83.2165854)",533-5353,PERMANENTLY CLOSED,3/28/07,,,2/20/12,7/19/12,12/30/1899,12/30/1899,4/1/12,O,NOT IN COMPLIANCE,"7930 Outer Dr W, Detroit, MI 48235, USA"
3531,Janet's Java,Food Service Establishment,55723,SFE,Janet and Tom Kappaz,"(42.3327477,-83.0467118)",963-5413,New owner/complete reconstruct,,,,10/27/09,10/27/09,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"49 Monroe Ave, Detroit, MI 48226, USA"
3532,Eph's Delicattesen,Food Service Establishment,56754,SFE,"Thomas Arndt, Co.owner","(42.3306498,-83.04534629999999)",964-4511,New owner/complete reconstruct,,,,9/14/09,2/11/10,6/7/08,12/30/1899,,O,IN COMPLIANCE,"608 Woodward Ave, Detroit, MI 48226, USA"
3533,Lunchtime Global,Food Service Establishment,57484,SFE,Ken Karustis,"(42.3311858,-83.0456609)",963-4871,OPEN,,,,2/18/11,2/3/12,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"First National Building, 660 Woodward Ave, Detroit, MI 48226, USA"
3520,Nu Wave Fish & Chicken,Food Service Establishment,56877,SFE,Karim Bayyouk,"(42.4161793,-83.1893041)",313-835-8000,OPEN,,,,8/31/17,1/28/18,,,,O,IN COMPLIANCE,"14541 W McNichols Rd, Detroit, MI 48235, USA"
3521,Stella International Cafe ,Food Service Establishment,57652,SFE,Stella International Cafe,"(42.3295267,-83.0460804)",313-268-1816,PERMANENTLY CLOSED,5/1/07,,,2/20/15,1/21/16,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"500 Griswold St, Detroit, MI 48226, USA"
3522,Mack Express Pizza,Food Service Establishment,57389,SFE,"Mack Express, IncAndy Khemmoro","(42.38678700000001,-82.952354)",(313) 885-1100,OPEN,7/31/07,,,,2/21/08,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"14423 Mack Ave, Detroit, MI 48215, USA"
3523,Soultown Cafe,Food Service Establishment,57480,SFE,,"(42.3524916,-83.12061349999999)",894-3618,PERMANENTLY CLOSED,8/6/07,,,8/6/07,8/6/07,12/30/1899,2/7/08,,O,NOT IN COMPLIANCE,"5109 Tireman Ave, Detroit, MI 48204, USA"
3524,"FISH""N"" CHIP INC",Food Service Establishment,56882,,IBRAHIM NASSER,"(42.4376767,-82.97649109999999)",371-6000,PERMANENTLY CLOSED,6/5/07,,,10/1/07,10/1/07,8/23/07,12/30/1899,,O,NOT IN COMPLIANCE,"14487 Gratiot Ave, Detroit, MI 48205, USA"
3525,Cottage Inn Pizza,Food Service Establishment,14716AG,,,"(42.3863134,-82.94861379999999)",821-2100,OPEN,1/1/07,,,10/17/07,7/20/08,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"14716 Mack Ave, Detroit, MI 48215, USA"
3526,St. Peter & Paul Orthodox Cathedral,Food Service Establishment,57476,SFE,,"(42.3284011,-83.1196818)",706-0666,OPEN,8/24/07,,,9/22/17,8/23/18,,,,O,NOT IN COMPLIANCE,"3700 Gilbert St, Detroit, MI 48210, USA"
3534,Westside Alternative High School,Public School,35080,SFE,Detroit Board of Education,"(42.3528791,-83.11136359999999)",313-873-0970,OPEN,9/6/07,,,5/25/10,10/27/10,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"1851 W Grand Blvd, Detroit, MI 48208, USA"
3535,Front Page Deli,Food Service Establishment,78749,SFE,Kenya Hollins/Anthony Thompson,"(42.3657223,-83.1894962)",397-2329,OPEN,9/10/07,,,10/12/17,3/11/18,10/22/17,,,O,NOT IN COMPLIANCE,"14744 W Chicago, Detroit, MI 48228, USA"
3536,Orginal Soul Food,Food Service Establishment,57654,SFE,Agnes Long,"(42.404514,-82.965886)",344-4694,New owner/complete reconstruct,,,,5/7/09,5/7/09,2/2/08,12/30/1899,,O,NOT IN COMPLIANCE,"14301 Harper Ave, Detroit, MI 48213, USA"
3537,Fat Boyz Steak and Chicken,Food Service Establishment,58534,SFE,Constance Williams,"(42.430082,-83.204523)",273-7901,OPEN,9/5/07,,,12/13/17,5/12/18,,,3/14/12,O,NOT IN COMPLIANCE,"15921 W Seven Mile Rd, Detroit, MI 48235, USA"
3538,Da Kitchen,Food Service Establishment,57477,SFE,Hobart Crump,"(42.352244,-83.142169)",313-933-3575,OPEN,8/14/07,,,6/15/10,11/12/10,8/31/09,12/30/1899,,O,NOT IN COMPLIANCE,"7322 Tireman Ave, Detroit, MI 48204, USA"
3539,"The One, Inc.",Food Service Establishment,64474,SFE,McClendon Starks,"(42.4035541,-82.937433)",344-4665,OPEN,7/28/07,,,9/28/07,9/28/07,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"16415 E Warren Ave, Detroit, MI 48224, USA"
3540,Au Bon Pain,Food Service Establishment,55734,SFE,George Darany,"(42.3293486,-83.0399975)",393-2271,OPEN,2/7/07,,,12/5/13,11/5/14,12/15/13,12/30/1899,4/30/15,O,IN COMPLIANCE,"Renaissance Center, 100 Renaissance Center, Detroit, MI 48243, USA"
3541,Sports Connection,Food Service Establishment,57656,SFE,,"(42.35787699999999,-83.2288724)",653-4998,OPEN,9/20/07,,,9/9/08,2/6/09,9/19/08,12/30/1899,3/24/11,O,NOT IN COMPLIANCE,"19200 Joy Rd, Detroit, MI 48228, USA"
3542,Flagship Academy,Non-Public School,66064,SFE,National Heritage Academies,"(42.3881175,-83.1566923)",933-7933,OPEN,10/5/07,,,9/12/17,3/11/18,,,,Z,IN COMPLIANCE,"13661 Wisconsin St, Detroit, MI 48238, USA"
3543,My Sisters and Me,Food Service Establishment,58550,SFE,Betty Robinson,"(42.4073768,-82.9255917)",433-1911,OPEN,,,,7/8/11,12/5/11,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"17410 E Warren Ave, Detroit, MI 48224, USA"
3546,Mr. Rick's Soul Food Headquarters,Food Service Establishment,SW031814,SFE,,"(42.40164,-82.97554629999999)",(313) 745-0748,New owner/complete reconstruct,,,,3/11/08,,3/28/14,12/30/1899,7/24/08,Z,NOT IN COMPLIANCE,"12715 Harper Ave, Detroit, MI 48213, USA"
3547,L's Pizza/Chicken& Shrimp,Food Service Establishment,58561,SFE,Kelley Lyons,"(42.40104100000001,-82.9985343)",372-4000,New owner/complete reconstruct,,,,7/23/08,7/23/08,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"Detroit, MI 48213, USA"
3548,Vegas Pizza,Food Service Establishment,57921,SFE,H.Thuwaini/Vegas Food & Snacks,"(42.35113020000001,-83.1961291)",581-1414,OPEN,10/22/07,,,11/13/09,10/14/10,5/7/09,12/30/1899,9/30/10,O,IN COMPLIANCE,"8004 Greenfield Rd, Detroit, MI 48228, USA"
3549,Sedona Mexican Grill,Food Service Establishment,16900,SFE,Saad Abro,"(42.3725406,-83.2121792)",653-3303,PERMANENTLY CLOSED,10/25/07,,,3/11/08,8/8/08,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"16900 Plymouth Rd, Detroit, MI 48227, USA"
3550,Lovin' Scoop Lightly Soul,Food Service Establishment,56874,SFE,GROVER SCOTT,"(42.3746051,-82.98746799999999)",821-0621,OPEN,6/21/07,,,12/4/09,12/4/09,12/14/09,12/30/1899,,O,NOT IN COMPLIANCE,"3559 Garland St, Detroit, MI 48214, USA"
3551,Last Chance Academy-D.P.S.,Food Service Establishment,4901A,,Detroit Public Schools,"(42.4009293,-82.9430173)",884-2527,OPEN,9/6/07,,,,,11/15/07,12/30/1899,,O,NOT IN COMPLIANCE,"15932 E Warren Ave, Detroit, MI 48224, USA"
3552,El Bosque Salon,Food Service Establishment,57924,SFE,Francisco Guardado,"(42.31007899999999,-83.10115230000001)",282-2187,Other,,,,7/28/17,6/28/18,8/7/17,12/30/1899,,O,NOT IN COMPLIANCE,"6705 W Lafayette Blvd, Detroit, MI 48209, USA"
3553,Adi's Coney Island ,Food Service Establishment,203409,SFE,Admirim Avdoll,"(42.3308526,-83.11842469999999)",898-8420,OPEN,10/11/07,,,11/7/17,4/6/18,,,,O,IN COMPLIANCE,"6171 Michigan Ave, Detroit, MI 48210, USA"
3555,Friends of Detroit & Tri County,Food Service Establishment,58532,SFE,Michael Wimberly,"(42.3746434,-83.0083569)",924-0085,OPEN,11/14/07,,,1/22/18,6/21/18,4/22/18,12/30/1899,,O,IN COMPLIANCE,"8230 E Forest Ave, Detroit, MI 48214, USA"
3556,The Village of Woodbridge Manor,Food Service Establishment,76447,SFE,Detroit Area Agency on Aging,"(42.3428785,-83.07057449999999)",494-9000,OPEN,,,,1/15/16,5/29/17,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"1300 Martin Luther King Jr Blvd, Detroit, MI 48201, USA"
